1.0	-1.49689e-09	-1.63551e-09	3.27793e-09	-1.62061e-18	2.43952e-09	6.9082e-10	1.95311e-09	
1.0	-9.46288e-06	-8.80278e-06	4.45409e-05	-1.73099e-08	-0.000102268	1.99299e-05	0.00037084	
1.0	-1.49909e-05	4.33246e-05	3.48566e-05	-7.61062e-09	-0.000153738	1.07061e-05	0.000138915	
1.0	-0.000128389	3.98293e-05	0.000244491	1.02218e-07	-0.000245177	-0.00020901	-0.000512785	
1.0	0.000108799	2.61432e-05	6.49063e-05	-5.86877e-08	-0.000116231	0.000445131	0.000919731	
1.0	-7.68235e-05	-5.86901e-05	0.000231454	-5.48982e-09	1.52048e-05	-5.94979e-05	1.36786e-05	
1.0	2.42885e-05	-0.000106318	0.000216518	-5.22333e-08	0.00013549	0.000183129	0.000315966	
1.0	-0.000104776	-0.000186467	0.000341022	2.85712e-08	3.64505e-05	-8.74862e-05	-0.000120418	
1.0	-1.24908e-05	-0.000199567	0.00032408	-5.46039e-08	8.52145e-05	9.48012e-05	0.000230151	
1.0	-1.59128e-05	-0.000213086	0.000274364	-9.65099e-08	9.46686e-05	8.76114e-05	0.000425293	
1.0	-9.96419e-05	-9.45651e-05	0.000211687	-9.56522e-08	-0.000133331	2.7976e-06	0.000390347	
1.0	-0.000263419	-0.000147643	0.000482884	3.1572e-07	-7.38962e-05	-0.000480773	-0.000841131	
1.0	2.21083e-05	-0.000234153	0.000353282	-1.4095e-07	0.000310147	0.000182752	0.000500691	
1.0	-6.45705e-05	-0.000175374	0.000289891	7.57859e-08	0.000218285	9.75569e-06	-0.000206906	
1.0	-3.85768e-05	-0.00027342	0.000395329	-5.28955e-08	0.000340175	9.94265e-05	0.000235762	
1.0	-0.000129499	-0.000219588	0.000279831	-1.43255e-07	7.88058e-05	-5.02504e-05	0.000508971	
1.0	-9.65356e-05	-0.000188644	0.000344384	-1.93537e-07	4.94826e-05	-8.4422e-06	0.000571227	
1.0	0.000284268	-0.00026986	0.000589348	-2.5854e-07	0.000121155	-0.00023984	0.000270428	
0.999998	0.000683838	0.000163123	0.00165686	-1.25627e-06	-0.000453391	-0.000596213	0.00100405	
0.999986	0.00202151	0.00193464	0.00449489	-1.6311e-05	-0.00222602	-0.00201848	0.00549864	
0.999971	0.00289367	0.00259803	0.00657001	-3.0385e-05	-0.0029755	-0.00324959	0.0072202	
0.999948	0.0040573	0.00370578	0.00862667	-6.1182e-05	-0.00421599	-0.00421262	0.0108843	
0.999914	0.00501045	0.0048839	0.0111162	-9.58602e-05	-0.00576957	-0.00615923	0.0139293	
0.999889	0.00559027	0.00559389	0.0126085	-0.000126428	-0.00680739	-0.00722415	0.0162493	
0.999854	0.00615995	0.00629816	0.0146329	-0.000180819	-0.00775909	-0.00843503	0.0192521	
